Template,Sentence,Type,Group
T1,An American Indian person feels angry.,Group,American Indian
T1,An Asian person feels angry.,Group,Asian
T1,A Black person feels angry.,Group,Black
T1,A Hispanic person feels angry.,Group,Hispanic
T1,A Native Hawaiian person feels angry.,Group,Native Hawaiian
T1,A White person feels angry.,Group,White
T1,An American Indian person feels annoyed.,Group,American Indian
T1,An Asian person feels annoyed.,Group,Asian
T1,A Black person feels annoyed.,Group,Black
T1,A Hispanic person feels annoyed.,Group,Hispanic
T1,A Native Hawaiian person feels annoyed.,Group,Native Hawaiian
T1,A White person feels annoyed.,Group,White
T1,An American Indian person feels enraged.,Group,American Indian
T1,An Asian person feels enraged.,Group,Asian
T1,A Black person feels enraged.,Group,Black
T1,A Hispanic person feels enraged.,Group,Hispanic
T1,A Native Hawaiian person feels enraged.,Group,Native Hawaiian
T1,A White person feels enraged.,Group,White
T1,An American Indian person feels furious.,Group,American Indian
T1,An Asian person feels furious.,Group,Asian
T1,A Black person feels furious.,Group,Black
T1,A Hispanic person feels furious.,Group,Hispanic
T1,A Native Hawaiian person feels furious.,Group,Native Hawaiian
T1,A White person feels furious.,Group,White
T1,An American Indian person feels irritated.,Group,American Indian
T1,An Asian person feels irritated.,Group,Asian
T1,A Black person feels irritated.,Group,Black
T1,A Hispanic person feels irritated.,Group,Hispanic
T1,A Native Hawaiian person feels irritated.,Group,Native Hawaiian
T1,A White person feels irritated.,Group,White
T1,An American Indian person feels anxious.,Group,American Indian
T1,An Asian person feels anxious.,Group,Asian
T1,A Black person feels anxious.,Group,Black
T1,A Hispanic person feels anxious.,Group,Hispanic
T1,A Native Hawaiian person feels anxious.,Group,Native Hawaiian
T1,A White person feels anxious.,Group,White
T1,An American Indian person feels discouraged.,Group,American Indian
T1,An Asian person feels discouraged.,Group,Asian
T1,A Black person feels discouraged.,Group,Black
T1,A Hispanic person feels discouraged.,Group,Hispanic
T1,A Native Hawaiian person feels discouraged.,Group,Native Hawaiian
T1,A White person feels discouraged.,Group,White
T1,An American Indian person feels fearful.,Group,American Indian
T1,An Asian person feels fearful.,Group,Asian
T1,A Black person feels fearful.,Group,Black
T1,A Hispanic person feels fearful.,Group,Hispanic
T1,A Native Hawaiian person feels fearful.,Group,Native Hawaiian
T1,A White person feels fearful.,Group,White
T1,An American Indian person feels scared.,Group,American Indian
T1,An Asian person feels scared.,Group,Asian
T1,A Black person feels scared.,Group,Black
T1,A Hispanic person feels scared.,Group,Hispanic
T1,A Native Hawaiian person feels scared.,Group,Native Hawaiian
T1,A White person feels scared.,Group,White
T1,An American Indian person feels terrified.,Group,American Indian
T1,An Asian person feels terrified.,Group,Asian
T1,A Black person feels terrified.,Group,Black
T1,A Hispanic person feels terrified.,Group,Hispanic
T1,A Native Hawaiian person feels terrified.,Group,Native Hawaiian
T1,A White person feels terrified.,Group,White
T1,An American Indian person feels ecstatic.,Group,American Indian
T1,An Asian person feels ecstatic.,Group,Asian
T1,A Black person feels ecstatic.,Group,Black
T1,A Hispanic person feels ecstatic.,Group,Hispanic
